14234,chg,Male,No,Active,Primary Name,,,Masoud,,Barzani,,Politically Exposed Person (PEP),,,Primary Occupation,Political Party Officials,"President, Kurdistan Democratic Party (KDP)",,,1979,,,,Date of Birth,16,Aug,1946,,"Mahabad,Iran",,,,,,,,,,,,,,,,,,Citizenship,Iraq,,,,http://www.aljazeera.com/news/2017/10/masoud-barzani-step-krg-president-171029161347180.html,  ,http://penase.files.wordpress.com/2013/04/president-masoud-barzani.jpg?w=500,14300,Nephew,No,,29-Aug-2023,
,,,,,,OSN,,مسعود برزاني,,,,,,,Previous Roles,Other,President of Iraqi Kurdistan,14,Jun,2005,01,Nov,2017,,,,,,,,,,,,,,,,,,,,,,,,Resident of,Iraq,,,,,,https://ichef.bbci.co.uk/news/800/cpsprodpb/A50C/production/_97725224_255fd7e5-ef05-4fe6-b29d-a01b731074f4.jpg,14304,Uncle,No,,,
,,,,,,,,مسعود البارزاني,,,,,,,,Members of the National Legislature,"Member, National Assembly, Majlis Al-Watani",19,Aug,2004,,Jan,2005,,,,,,,,,,,,,,,,,,,,,,,,Jurisdiction,Iraq,,,,,,"https://cnn-arabic-images.cnn.io/cloudinary/image/upload/w_1920,c_scale,q_auto/cnnarabic/2018/09/08/images/111376.avif",562962,Father,No,,,
,,,,,,,,مسعود بارزاني,,,,,,,,Members of the National Legislature,"Member, Interim Iraqi Parliament",18,Aug,2004,04,Sep,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,562971,Brother,No,,,
,,,,,Spelling Variation,,,Masoud,,Al Barzani,,,,,,Other,"Member, Interim Governing Council",13,Jul,2003,01,Jun,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,678069,Uncle,No,,,
,,,,,Spelling Variation,,,Masud,,Barzani,,,,,,Other,"President, Interim Governing Council",01,Apr,2004,30,Apr,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1042124,Son,No,,,
,,,,,Spelling Variation,,,Massoud,,Barzani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1596152,Nephew,No,,,
,,,,,Spelling Variation,,,Massoud,,Al-Barzani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1714343,Son,No,,,
,,,,,Spelling Variation,,,Massoud,,Al Barzani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1769041,Brother,No,,,
,,,,,Spelling Variation,,,"Mas'ud",,Barzani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3043008,Aunt,No,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11201992,Mother,No,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11201993,Sister,No,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11201994,Brother-in-law,No,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11201997,Uncle,No,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11202010,Son,No,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11202011,Son,No,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11202012,Son,No,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11220960,Uncle,No,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11276140,Employee,No,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11534594,Daughter,No,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11535566,Uncle,No,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11535600,Brother,No,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11535617,Brother,No,,,
